street,latitude,longitude,lrt_stations,lrt_latitude,lrt_longitude,lrt_nearest_distance_m
TANAH MERAH KECHIL AVENUE,1.3280051883946855,103.94697620182,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,7942.499496856214
PALM GROVE AVENUE,1.3605632966736898,103.87771185491088,RENJONG LRT STATION (SW8),1.38670058991904,103.89062131608,3227.515809318691
PALM GROVE AVENUE,1.35954268279941,103.8782621862735,RENJONG LRT STATION (SW8),1.38670058991904,103.89062131608,3302.9829097364395
SAMPAN PLACE,1.3009051495252812,103.88193121357334,RANGGUNG LRT STATION (SE5),1.38423355918277,103.897194667804,9369.303949933008
PASIR RIS HEIGHTS,1.3823276810293526,103.94078168451678,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,3052.8340879625694
COVE DRIVE,1.244201732516356,103.83981225854374,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,16462.985106511846
HILLVIEW AVENUE,1.3569328929499025,103.75957575987498,TECK WHYE LRT STATION (BP4),1.37668467920808,103.753712232337,2279.451962938172
RIVER VALLEY ROAD,1.2943410506219957,103.82844028238412,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,11058.715062084122
TELOK BLANGAH DRIVE,1.2720123885202443,103.80851431684476,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,12237.138821904171
KELLOCK ROAD,1.293358193957923,103.83042423664986,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,11275.267036333194
KENSINGTON PARK DRIVE,1.3670990667539742,103.86929828023926,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,2849.6754648918254
BISHAN STREET 21,1.3494764448904355,103.84703812427306,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,5709.786749934039
