street,latitude,longitude,lrt_stations,lrt_latitude,lrt_longitude,lrt_nearest_distance_m
DUCHESS AVENUE,1.3246642552344807,103.802991509285,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,6697.930104682778
ALEXANDRA VIEW,1.290951037135854,103.81700026563036,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,10706.72802997583
TERRASSE LANE,1.368448340691386,103.87706607453096,TONGKANG LRT STATION (SW7),1.38934794658941,103.885844150116,2508.9660885327853
BISHAN STREET 25,1.3599551414437532,103.84630693327637,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,4859.406115032846
WEST COAST ROAD,1.296737346631761,103.76819367598496,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,8786.108231511094
TAMPINES AVENUE 1,1.3487304971669214,103.92726581503992,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,4789.5624034609555
PUNGGOL WALK,1.4057553714731503,103.90028350113974,PUNGGOL LRT STATION (PTC),1.40519470149606,103.902411911915,244.84195120262433
PEMIMPIN DRIVE,1.3521703128454758,103.84096637602696,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,5895.374784057066
YIO CHU KANG ROAD,1.386088623195961,103.84038852782751,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,4048.51237438565
BAYSHORE ROAD,1.3119948568752398,103.94027285891836,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,9013.879765889968
SIMEI STREET 3,1.3385356800302728,103.9503434114723,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,7265.377393011093
BISHAN STREET 21,1.347704452110314,103.8430217606298,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,6131.0279476416
TANAH MERAH KECHIL LINK,1.3275760895994406,103.9444987913742,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,7810.409606963825
FLORA DRIVE,1.356043017648034,103.96394108385832,RIVIERA LRT STATION (PE4),1.39451978540251,103.916169381157,6809.228916760691
SENGKANG EAST AVENUE,1.3811848666489066,103.9025753984062,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,309.2260697063283
MAR THOMA ROAD,1.3263750864709585,103.86214237025662,RENJONG LRT STATION (SW8),1.38670058991904,103.89062131608,7385.146202863258
GEYLANG EAST AVENUE 2,1.3168663519589228,103.88886458185677,RANGGUNG LRT STATION (SE5),1.38423355918277,103.897194667804,7506.589664327201
LORONG 3 TOA PAYOH,1.3380950575574184,103.84677579753767,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,6795.572690316172
WEST COAST CRESCENT,1.2976821284999007,103.76509723182168,PENDING LRT STATION (BP8),1.37613574334988,103.771261175571,8702.084707035188
SERANGOON AVENUE 3,1.3503472836646075,103.86332198925736,FERNVALE LRT STATION (SW5),1.39188589234766,103.87630862552,4815.1422559345965
HAIG ROAD,1.309953699807114,103.89707388644123,KANGKAR LRT STATION (SE4),1.38395911688913,103.90222537044,8203.204305118616
