target_price,area,floorRange,noOfUnits,typeOfSale,district,typeOfArea,street,project,marketSegment,contract_date_dt,days_since_1st_trans,age_bin,tenure_bin,latitude,longitude
1230000,78.0,Floor 06-10,1,3,19,Strata,SENGKANG SQUARE,LA FIESTA,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3888338896867671,103.8953149617317
1120000,77.0,Floor 01-05,1,3,19,Strata,SENGKANG SQUARE,LA FIESTA,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.3888338896867671,103.8953149617317
930000,94.0,Floor 11-15,1,3,23,Strata,HILLVIEW RISE,KINGSFORD . HILLVIEW PEAK,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.364790399712292,103.76416893366392
880000,63.0,Floor 01-05,1,3,23,Strata,HILLVIEW RISE,KINGSFORD . HILLVIEW PEAK,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.364790399712292,103.76416893366392
1500000,97.0,Floor 01-05,1,3,23,Strata,HILLVIEW RISE,KINGSFORD . HILLVIEW PEAK,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.364790399712292,103.76416893366392
716000,48.0,Floor 01-05,1,3,23,Strata,HILLVIEW RISE,KINGSFORD . HILLVIEW PEAK,OCR,2022-10-01,153,"(0.803, 20.7]",99 yrs,1.364790399712292,103.76416893366392
1888000,133.0,Floor 11-15,1,3,14,Strata,JALAN KEMBANGAN,THE TRUMPS,OCR,2022-10-01,153,"(20.7, 40.4]",99 yrs,1.3200261026136886,103.91348728951152
1500000,111.0,Floor 01-05,1,3,23,Strata,HILLVIEW AVENUE,MONTROSA,OCR,2022-10-01,153,"(138.9, 158.6]",999 yrs,1.3569328929499023,103.75957575987498
2000000,129.0,Floor 06-10,1,3,21,Strata,HINDHEDE WALK,SPRINGDALE CONDOMINIUM,OCR,2022-10-01,153,"(138.9, 158.6]",999 yrs,1.3482952099845351,103.77230280156066
1450000,63.0,Floor 01-05,1,3,10,Strata,RIVER VALLEY ROAD,RV RESIDENCES,CCR,2022-10-01,153,"(138.9, 158.6]",999 yrs,1.2943410506219957,103.82844028238412
