MAS: Financial Database - Domestic Interest Rates,,,,
,,,,
Domestic Interest Rates (Daily),,,,
Jan 2018 to May 2025,,,,
,,,,
,,,,
SORA Value Date,,,SORA Publication Date,SORA
,,18,19-Mar-24,3.7955
,,19,20-Mar-24,3.8841
,,20,21-Mar-24,3.8542
,,21,22-Mar-24,3.9588
,,22,25-Mar-24,4.2656
,,25,26-Mar-24,4.0357
,,26,27-Mar-24,3.953
,,27,28-Mar-24,3.8954
,,28,1-Apr-24,3.6851
,Apr,1,2-Apr-24,3.7
,,2,3-Apr-24,3.6119
,,3,4-Apr-24,3.5062
,,4,5-Apr-24,3.5261
,,5,8-Apr-24,3.4176
,,8,9-Apr-24,3.3676
,,9,11-Apr-24,3.4145
,,11,12-Apr-24,3.3997
,,12,15-Apr-24,3.4699
,,15,16-Apr-24,3.4112
,,16,17-Apr-24,3.4259
,,17,18-Apr-24,3.3029
,,18,19-Apr-24,3.4439
,,19,22-Apr-24,3.6491
,,22,23-Apr-24,3.6084
,,23,24-Apr-24,3.5612
,,24,25-Apr-24,3.5281
,,25,26-Apr-24,3.587
,,26,29-Apr-24,3.6559
,,29,30-Apr-24,3.5085
,,30,2-May-24,3.5066
,May,2,3-May-24,3.6458
,,3,6-May-24,3.7521
,,6,7-May-24,3.7687
,,7,8-May-24,3.8329
,,8,9-May-24,3.9685
,,9,10-May-24,3.9447
,,10,13-May-24,4.0076
,,13,14-May-24,3.7153
,,14,15-May-24,3.6486
,,15,16-May-24,3.609
,,16,17-May-24,3.5697
,,17,20-May-24,3.5899
,,20,21-May-24,3.5778
,,21,23-May-24,3.4585
,,23,24-May-24,3.5511
,,24,27-May-24,3.6756
,,27,28-May-24,3.6622
,,28,29-May-24,3.5476
,,29,30-May-24,3.5409
,,30,31-May-24,3.5289
,,31,3-Jun-24,3.5222
,Jun,3,4-Jun-24,3.8181
,,4,5-Jun-24,3.8127
,,5,6-Jun-24,3.8523
,,6,7-Jun-24,3.6378
,,7,10-Jun-24,3.8491
,,10,11-Jun-24,3.594
,,11,12-Jun-24,3.5291
,,12,13-Jun-24,3.6312
,,13,14-Jun-24,3.6365
,,14,18-Jun-24,3.7736
,,18,19-Jun-24,3.6929
,,19,20-Jun-24,3.702
,,20,21-Jun-24,3.5845
,,21,24-Jun-24,3.6371
,,24,25-Jun-24,3.6709
,,25,26-Jun-24,3.565
,,26,27-Jun-24,3.5992
,,27,28-Jun-24,3.446
,,28,1-Jul-24,3.4325
,Jul,1,2-Jul-24,3.4205
,,2,3-Jul-24,3.4141
,,3,4-Jul-24,3.4709
,,4,5-Jul-24,3.4839
,,5,8-Jul-24,3.5261
,,8,9-Jul-24,3.4634
,,9,10-Jul-24,3.4019
,,10,11-Jul-24,3.4975
,,11,12-Jul-24,3.4685
,,12,15-Jul-24,3.5537
,,15,16-Jul-24,3.5134
,,16,17-Jul-24,3.5137
,,17,18-Jul-24,3.5413
,,18,19-Jul-24,3.5399
,,19,22-Jul-24,3.5864
,,22,23-Jul-24,3.5679
,,23,24-Jul-24,3.5239
,,24,25-Jul-24,3.5458
,,25,26-Jul-24,3.6271
,,26,29-Jul-24,3.6541
,,29,30-Jul-24,3.5438
,,30,31-Jul-24,3.4769
,,31,1-Aug-24,3.4336
,Aug,1,2-Aug-24,3.5377
,,2,5-Aug-24,3.5838
,,5,6-Aug-24,3.6111
,,6,7-Aug-24,3.5735
,,7,8-Aug-24,3.6052
,,8,12-Aug-24,3.5987
,,12,13-Aug-24,3.6452
,,13,14-Aug-24,3.6717
,,14,15-Aug-24,3.6119
,,15,16-Aug-24,3.5144
,,16,19-Aug-24,3.5236
,,19,20-Aug-24,3.5471
,,20,21-Aug-24,3.3436
,,21,22-Aug-24,3.1973
,,22,23-Aug-24,3.1962
,,23,26-Aug-24,3.2314
,,26,27-Aug-24,3.2189
,,27,28-Aug-24,3.3159
,,28,29-Aug-24,3.3554
,,29,30-Aug-24,3.4319
,,30,2-Sept-24,3.5355
,Sep,2,3-Sept-24,3.4466
,,3,4-Sept-24,3.5593
,,4,5-Sept-24,3.4622
,,5,6-Sept-24,3.4824
,,6,9-Sept-24,3.5859
,,9,10-Sept-24,3.5167
,,10,11-Sept-24,3.4959
,,11,12-Sept-24,3.5352
,,12,13-Sept-24,3.5177
,,13,16-Sept-24,3.5423
,,16,17-Sept-24,3.5427
,,17,18-Sept-24,3.4455
,,18,19-Sept-24,3.4316
,,19,20-Sept-24,3.1089
,,20,23-Sept-24,3.2039
,,23,24-Sept-24,3.1178
,,24,25-Sept-24,3.135
,,25,26-Sept-24,3.1705
,,26,27-Sept-24,3.4135
,,27,30-Sept-24,3.3108
,,30,1-Oct-24,3.8808
,Oct,1,2-Oct-24,3.7299
,,2,3-Oct-24,3.6048
,,3,4-Oct-24,3.5946
,,4,7-Oct-24,3.5514
,,7,8-Oct-24,3.5015
,,8,9-Oct-24,3.3875
,,9,10-Oct-24,3.3049
,,10,11-Oct-24,3.1077
,,11,14-Oct-24,3.0977
,,14,15-Oct-24,3.0846
,,15,16-Oct-24,3.0314
,,16,17-Oct-24,2.9091
,,17,18-Oct-24,2.8903
,,18,21-Oct-24,2.9784
,,21,22-Oct-24,3.0642
,,22,23-Oct-24,3.1267
,,23,24-Oct-24,3.0662
,,24,25-Oct-24,2.947
,,25,28-Oct-24,3.0313
,,28,29-Oct-24,3.0666
,,29,30-Oct-24,3.0955
,,30,1-Nov-24,3.1559
,Nov,1,4-Nov-24,3.2321
,,4,5-Nov-24,2.9891
,,5,6-Nov-24,2.9118
,,6,7-Nov-24,2.8566
,,7,8-Nov-24,2.9347
,,8,11-Nov-24,3.1044
,,11,12-Nov-24,3.1304
,,12,13-Nov-24,3.0749
,,13,14-Nov-24,2.96
,,14,15-Nov-24,2.8989
,,15,18-Nov-24,2.9008
,,18,19-Nov-24,3.1312
,,19,20-Nov-24,3.06
,,20,21-Nov-24,2.9428
,,21,22-Nov-24,2.7615
,,22,25-Nov-24,3.098
,,25,26-Nov-24,3.0618
,,26,27-Nov-24,2.9033
,,27,28-Nov-24,2.787
,,28,29-Nov-24,2.745
,,29,2-Dec-24,3.0839
,Dec,2,3-Dec-24,2.9528
,,3,4-Dec-24,3.0756
,,4,5-Dec-24,3.0051
,,5,6-Dec-24,2.7668
,,6,9-Dec-24,2.8852
,,9,10-Dec-24,3.1885
,,10,11-Dec-24,3.1129
,,11,12-Dec-24,3.0721
,,12,13-Dec-24,3.1825
,,13,16-Dec-24,3.2537
,,16,17-Dec-24,3.1506
,,17,18-Dec-24,3.0547
,,18,19-Dec-24,2.9769
,,19,20-Dec-24,2.9893
,,20,23-Dec-24,3.23
,,23,24-Dec-24,2.762
,,24,26-Dec-24,2.7495
,,26,27-Dec-24,2.5512
,,27,30-Dec-24,2.5613
,,30,31-Dec-24,2.3115
,,31,2-Jan-25,2.1123
,,,,
,,,,
SORA Value Date,,,SORA Publication Date,SORA
2025,Jan,2,3-Jan-25,2.5211
,,3,6-Jan-25,2.7573
,,6,7-Jan-25,2.8352
,,7,8-Jan-25,2.7815
,,8,9-Jan-25,2.8385
,,9,10-Jan-25,2.898
,,10,13-Jan-25,3.1047
,,13,14-Jan-25,2.9332
,,14,15-Jan-25,2.9314
,,15,16-Jan-25,2.8138
,,16,17-Jan-25,2.4647
,,17,20-Jan-25,2.2492
,,20,21-Jan-25,2.2516
,,21,22-Jan-25,2.485
,,22,23-Jan-25,2.5852
,,23,24-Jan-25,3.0238
,,24,27-Jan-25,3.0743
,,27,28-Jan-25,2.9786
,,28,31-Jan-25,3.1283
,,31,3-Feb-25,2.6325
,Feb,3,4-Feb-25,2.651
,,4,5-Feb-25,2.6168
,,5,6-Feb-25,2.3766
,,6,7-Feb-25,2.4847
,,7,10-Feb-25,2.517
,,10,11-Feb-25,2.5438
,,11,12-Feb-25,2.4561
,,12,13-Feb-25,2.5042
,,13,14-Feb-25,2.5008
,,14,17-Feb-25,2.413
,,17,18-Feb-25,2.3114
,,18,19-Feb-25,2.5261
,,19,20-Feb-25,2.4639
,,20,21-Feb-25,2.463
,,21,24-Feb-25,2.3548
,,24,25-Feb-25,2.2661
,,25,26-Feb-25,2.4175
,,26,27-Feb-25,2.3922
,,27,28-Feb-25,2.6412
,,28,3-Mar-25,2.4846
,Mar,3,4-Mar-25,2.3344
,,4,5-Mar-25,2.2903
,,5,6-Mar-25,2.3176
,,6,7-Mar-25,2.3425
,,7,10-Mar-25,2.1455
,,10,11-Mar-25,2.1148
,,11,12-Mar-25,2.1251
,,12,13-Mar-25,2.0822
,,13,14-Mar-25,2.2434
,,14,17-Mar-25,2.3683
,,17,18-Mar-25,2.3416
,,18,19-Mar-25,2.4421
,,19,20-Mar-25,2.4428
,,20,21-Mar-25,2.4805
,,21,24-Mar-25,2.6484
,,24,25-Mar-25,2.7645
,,25,26-Mar-25,2.9409
,,26,27-Mar-25,2.9829
,,27,28-Mar-25,2.3592
,,28,1-Apr-25,2.1392
,Apr,1,2-Apr-25,2.0073
,,2,3-Apr-25,2.1983
,,3,4-Apr-25,2.2206
,,4,7-Apr-25,2.3164
,,7,8-Apr-25,2.5884
,,8,9-Apr-25,2.3872
,,9,10-Apr-25,2.3326
,,10,11-Apr-25,2.3009
,,11,14-Apr-25,2.3021
,,14,15-Apr-25,2.2749
,,15,16-Apr-25,2.284
,,16,17-Apr-25,2.2553
,,17,21-Apr-25,2.196
,,21,22-Apr-25,2.153
,,22,23-Apr-25,2.1405
,,23,24-Apr-25,2.1801
,,24,25-Apr-25,2.1602
,,25,28-Apr-25,2.1066
,,28,29-Apr-25,2.1769
,,29,30-Apr-25,2.174
,,30,2-May-25,2.1673
,May,2,5-May-25,2.2953
,,5,6-May-25,2.272
,,6,7-May-25,2.2252
,,7,8-May-25,2.116
,,8,9-May-25,2.1975
,,9,13-May-25,2.2665
,,13,14-May-25,2.3946
,,14,15-May-25,2.1883
,,15,16-May-25,2.1552
,,16,19-May-25,2.121
,,19,20-May-25,2.177
,,20,21-May-25,2.125
,,21,22-May-25,2.1033
,,22,23-May-25,2.1348
,,,,
,,,,
" After a review of the market demand and usage of MAS-administered financial benchmarks, a decision was made to discontinue the following domestic interest rates with effect from 1 January 2014: ",,,,
"    *  Interbank (overnight, 1-week, 1-month, 2-month, 3-month, 6-month, 12-month)",,,,
    *  3-month commercial bills,,,,
    *  SGS Overnight Repo,,,,
" Historical data for these rates will still be available on the MAS website. For further enquiries, please contact the Monetary and Domestic Markets Management Department at 6229 9150.",,,,
 The Singapore Overnight Rate Average or SORA is the volume-weighted average rate of borrowing transactions in the unsecured overnight interbank SGD cash market in Singapore between 8.00am and 6.15pm.,,,,
 The SORA Publication Date is the same date as the SORA Compounded Index Value Date.,,,,
" For the Singapore Interbank Offered Rates (SIBOR) and Swap Offer Rates (SOR), please refer to the Association of Banks in Singapore's website.",,,,
