place_id,name,business_status,geometry,price_level,user_ratings_total,rating,types,vicinity,permanently_closed,lat,lng
ChIJ2XM23XYU2jERVXOrPJ1tCC0,Mark'S Place,OPERATIONAL,"{'location': {'lat': 1.426914, 'lng': 103.826071}, 'viewport': {'northeast': {'lat': 1.428235080291502, 'lng': 103.8274977802915}, 'southwest': {'lat': 1.425537119708498, 'lng': 103.8247998197085}}}",,,,"['school', 'point_of_interest', 'establishment']","369 Sembawang Road, Singapore",,1.426914,103.826071
ChIJwcWSZmcT2jERSM2_uLfXEQc,Naval Base Secondary School,OPERATIONAL,"{'location': {'lat': 1.4186356, 'lng': 103.8310575}, 'viewport': {'northeast': {'lat': 1.419988980291502, 'lng': 103.8324740302915}, 'southwest': {'lat': 1.417291019708498, 'lng': 103.8297760697085}}}",,,,"['secondary_school', 'school', 'point_of_interest', 'establishment']","901 Yishun Ring Road, Singapore",,1.4186356,103.8310575
ChIJFWCL5XEU2jERWgRBqdpb2zI,M.Y World @ Yishun,OPERATIONAL,"{'location': {'lat': 1.4262033, 'lng': 103.8323495}, 'viewport': {'northeast': {'lat': 1.427476880291502, 'lng': 103.8337862802915}, 'southwest': {'lat': 1.424778919708498, 'lng': 103.8310883197085}}}",,,,"['school', 'point_of_interest', 'establishment']","760 Yishun Street 72, Singapore",,1.4262033,103.8323495
ChIJX4e_j3IU2jERyfgm-k7XHBU,PCF Sparkletots @ Nee Soon South Blk 781,OPERATIONAL,"{'location': {'lat': 1.4221975, 'lng': 103.8322682}, 'viewport': {'northeast': {'lat': 1.423646930291502, 'lng': 103.8336178302915}, 'southwest': {'lat': 1.420948969708498, 'lng': 103.8309198697085}}}",,,,"['school', 'point_of_interest', 'establishment']","Blk 781 Yishun Ring Road, #01-3552",,1.4221975,103.8322682
ChIJ9RrRlJoV2jERLcSuG315qw4,Artillery Institute,OPERATIONAL,"{'location': {'lat': 1.4218892, 'lng': 103.8297101}, 'viewport': {'northeast': {'lat': 1.42395295, 'lng': 103.8313677802915}, 'southwest': {'lat': 1.42104795, 'lng': 103.8286698197085}}}",,2.0,1.0,"['school', 'point_of_interest', 'establishment']",,,1.4218892,103.8297101
ChIJ8Vw0km0U2jERZeftkllCsCA,Lifesaving Course .com | Lifeguard training School,OPERATIONAL,"{'location': {'lat': 1.4236772, 'lng': 103.8341114}, 'viewport': {'northeast': {'lat': 1.424838480291502, 'lng': 103.8351006302915}, 'southwest': {'lat': 1.422140519708498, 'lng': 103.8324026697085}}}",,8.0,5.0,"['school', 'point_of_interest', 'establishment']","351 Yishun Avenue 3, Singapore",,1.4236772,103.8341114
ChIJTeVIOYkX2jERRLmCbJxWxoc,SWIM2000,OPERATIONAL,"{'location': {'lat': 1.4237634, 'lng': 103.834125}, 'viewport': {'northeast': {'lat': 1.424881580291502, 'lng': 103.8351074302915}, 'southwest': {'lat': 1.422183619708498, 'lng': 103.8324094697085}}}",,19.0,5.0,"['school', 'health', 'point_of_interest', 'establishment']","351 Yishun Avenue 3, YISHUN Yishun, Swimming Complex, Singapore",,1.4237634,103.834125
ChIJqTsR1OAV2jERjNop6rLTrew,PCF Sparkletots @ Nee Soon Central Blk 723,OPERATIONAL,"{'location': {'lat': 1.426015, 'lng': 103.82975}, 'viewport': {'northeast': {'lat': 1.427264130291502, 'lng': 103.8311066302915}, 'southwest': {'lat': 1.424566169708498, 'lng': 103.8284086697085}}}",,,,"['school', 'point_of_interest', 'establishment']","Blk 723 Yishun Street 71, #01-157",,1.426015,103.82975
ChIJJWQG3yUV2jERxcroMeLhF-M,Breeze Education,OPERATIONAL,"{'location': {'lat': 1.4265469, 'lng': 103.829743}, 'viewport': {'northeast': {'lat': 1.427951530291502, 'lng': 103.8310206802915}, 'southwest': {'lat': 1.425253569708498, 'lng': 103.8283227197085}}}",,7.0,5.0,"['school', 'point_of_interest', 'establishment']",724 Yishun Street 71,,1.4265469,103.829743
ChIJvxEAJEAV2jERj2FaE9gEAqg,G.Manikantan violin Teacher in Singapore,OPERATIONAL,"{'location': {'lat': 1.419719, 'lng': 103.833325}, 'viewport': {'northeast': {'lat': 1.421137030291502, 'lng': 103.8346723302915}, 'southwest': {'lat': 1.418439069708498, 'lng': 103.8319743697085}}}",,,,"['school', 'store', 'point_of_interest', 'establishment']",blk 796 Yishun Ring Road,,1.419719,103.833325
